skill,repo_ewma,interest_ewma,repo_trend,interest_trend,repo_momentum_3m,interest_momentum_3m
A/B Testing,90.32582055,76.16207851,-0.996780235,-5.212319361,2.270102915,1.051034421
API Design,81.96178692,75.05711713,-5.983622966,10.68980694,0.616235174,10.68073279
Agile,78.04650945,43.86693493,-6.448504049,4.771313604,-2.566138685,1.087875369
Amazon Web Services,39.28562624,74.39565466,-11.26526839,-4.455280569,-9.272746785,-3.208887378
Angular,27.25822751,26.13090482,-11.6820975,-1.34181635,-5.608022811,-1.509236603
C++,77.0961115,32.03567114,-12.46976207,-0.015287631,-0.965155742,-0.859510144
CI/CD,81.12635863,81.84043951,-6.911296557,-1.645902647,-1.092339768,-1.10512027
CSS,64.30053023,35.14812039,-10.41451296,-2.206337308,-4.535907056,-1.674747418
Cryptography,72.7645214,51.83195001,-5.899080601,-0.785121432,2.293206451,-0.63905846
Data Versioning,77.30586793,69.06948517,-8.702514828,-13.31549364,-0.618032295,1.060591104
Deep Learning,81.12034696,84.78501198,-8.623005838,1.806423437,-1.030192371,3.242222671
Distributed Systems,75.74460248,58.17437122,-2.89054392,8.06812662,4.734495792,3.244351904
Django,61.82511584,32.62275977,-16.21076393,-0.695468471,-6.069097288,-0.954473437
Docker,77.54075941,80.43284683,-11.37461118,5.814494215,-1.945849305,1.948124034
Ethical Hacking,69.06983211,51.18899008,-8.172785192,-3.509567178,-0.094149367,-2.636702122
Excel,74.53577437,84.27485379,-5.372474729,-0.117794481,1.608353975,-1.1958979
Express.js,71.69910202,40.52629703,-9.728186578,-3.6541273,-5.064441228,-2.21941414
Feature Engineering,81.92907981,76.5138724,-2.541034206,-1.077373884,3.826622509,-0.727516195
Figma,73.63633928,85.98106438,-4.55843112,-0.849027591,-0.831948404,-1.958755391
Go,78.37287451,74.42680748,-8.731231931,-1.040060348,-0.150610836,-1.263763376
HTML,72.58688983,48.5106158,-7.965809927,-0.647406773,-2.88783928,-0.331850906
Java,71.90239085,42.81782851,-11.95816751,-0.350497931,-5.570331182,-1.216047938
JavaScript,60.644671,41.15410727,-12.704859,-0.923188831,-4.152136877,-1.150873156
Kubernetes,75.51117399,63.10026424,-6.647645994,2.099886754,2.259629438,-0.320576877
Linux,71.7848201,64.35931801,-4.622065755,1.131720851,3.644677548,0.930931063
MLFlow,79.11098832,80.26717331,-6.047566423,-6.543074276,-1.519843854,-0.666212696
Microservices,78.71475913,60.86737801,-10.1634682,16.77112371,-1.753738335,6.046776141
Microsoft Azure,68.77977596,70.02319673,-0.762761127,-2.581370028,-0.401664536,-1.253877797
Model Deployment,83.79864375,75.56027692,-4.627990177,-1.097261536,1.758300348,2.446936895
MongoDB,65.00074561,6.588086414,-14.57174812,-1.109179892,-7.892604339,-0.815716981
MySQL,60.63019513,51.36593558,-9.270083627,0.700313322,-2.402369486,-0.221982194
NLP,77.64806821,88.05003015,-7.563457805,5.121415649,0.895256739,2.609455966
Network Security,72.45076923,69.42912149,-1.050329671,-0.612480637,5.557672123,0.332426806
Next.js,86.27922242,66.0496259,-4.833952467,-5.592696814,-0.385276124,-1.311568724
Node.js,74.8889621,61.63112776,-11.09526947,-0.270483327,-4.550095336,-0.525413936
NumPy,82.88583864,58.57628787,-7.665359418,0.181590913,-0.848392603,-0.096813538
OWASP,71.29638562,64.63856657,-1.841308122,-2.845099958,5.134377695,-0.830455039
Pandas,76.30062805,42.56753578,-6.557412023,-0.671801047,-1.810021994,-0.51105054
PostgreSQL,78.81975109,67.28815147,-4.208464752,-0.980636345,2.48534843,-0.073192922
Power BI,82.2758095,62.94368071,-3.5467755,-2.547291732,2.022150786,-2.32555707
Prototyping,82.10636165,54.19372125,-4.331297851,19.63126232,1.48602565,7.7363704
PyTorch,74.22122381,82.56191882,-11.23766735,0.187749078,-0.27244319,2.58583026
Python,77.74734262,61.88226643,-8.891718266,0.479028674,-0.757049662,-0.449610342
REST,79.49388568,44.66064728,-8.354522436,-1.140277405,-0.283268119,0.342035702
React,42.23620295,47.27942554,-13.38694412,-2.691182376,-5.351977976,-2.376659458
Redis,77.71499184,80.51745946,-8.449282215,1.492517373,1.698008129,0.019464658
SQL,77.77477786,46.31190523,-6.760619082,0.294897757,0.683159327,-0.662703342
Spring Boot,77.36397784,44.46251074,-8.298847645,-0.626790317,0.493553509,-1.260320269
Statistics,79.83983039,79.671192,-10.21707017,0.998060569,-1.098900452,5.690988195
System Design,76.62644626,91.82506929,-2.41133411,3.503541734,4.611685918,2.403235645
Tableau,81.15082181,50.67942368,-7.350352204,-2.434038719,-1.032157365,-1.993567888
TensorFlow,57.43964203,45.13584356,-17.75984658,-1.772504385,-7.009567357,-1.865159594
Terraform,84.77975898,56.52185017,-6.762753848,-0.652221501,-0.748592468,-2.134942236
TypeScript,75.60284112,46.88936802,-7.115503337,-2.095443435,0.623841968,-1.019742261
Unity,62.63327353,74.73037154,-18.69997437,-0.313016373,-5.328533242,1.839791934
Unreal Engine,75.72236227,81.39368894,-7.166726689,-4.025866687,0.118958198,1.328810854
User Research,81.62442325,79.57783939,-5.839038536,-2.819074026,-0.596934962,1.902195838
XGBoost,82.60688917,78.70327836,-6.688666786,0.984309275,-0.270870926,0.364379124
scikit-learn,74.66890707,68.83701621,-4.143817317,-0.787292662,-1.724462534,-0.152497232
